528,331,plate,1
528,331,plate,2
528,331,plate,3
528,331,plate,4
528,331,plate,5
431,333,ball,5
529,331,plate,6
431,332,ball,6
420,326,ball,6
529,331,plate,7
431,332,ball,7
421,327,ball,7
529,331,plate,8
429,334,ball,8
420,329,ball,8
528,331,plate,9
430,335,ball,9
421,329,ball,9
528,331,plate,10
431,334,ball,10
420,330,ball,10
529,331,plate,11
420,331,ball,11
433,334,ball,11
529,331,plate,12
529,331,plate,13
528,332,plate,14
529,332,plate,15
529,332,plate,16
529,333,plate,17
529,333,plate,18
529,333,plate,19
529,333,plate,20
529,333,plate,21
529,333,plate,22
529,333,plate,23
529,333,plate,24
529,333,plate,25
529,333,plate,26
529,333,plate,27
529,333,plate,28
529,333,plate,29
529,333,plate,30
529,332,plate,31
529,332,plate,32
529,332,plate,33
529,332,plate,34
529,332,plate,35
529,332,plate,36
529,332,plate,37
529,332,plate,38
529,331,plate,39
529,331,plate,40
529,331,plate,41
529,331,plate,42
529,331,plate,43
529,331,plate,44
529,331,plate,45
529,331,plate,46
529,331,plate,47
529,331,plate,48
529,331,plate,49
529,331,plate,50
529,331,plate,51
529,331,plate,52
529,332,plate,53
529,332,plate,54
529,332,plate,55
529,332,plate,56
529,332,plate,57
529,332,plate,58
529,332,plate,59
529,332,plate,60
529,333,plate,61
529,333,plate,62
402,303,ball,62
404,327,ball,63
530,333,plate,63
406,341,ball,64
530,334,plate,64
407,345,ball,65
530,333,plate,65
408,342,ball,66
530,333,plate,66
529,332,plate,67
418,337,ball,67
404,331,ball,67
529,332,plate,68
418,336,ball,68
409,329,ball,68
529,332,plate,69
419,337,ball,69
529,332,plate,70
428,338,ball,70
415,333,ball,70
529,333,plate,71
430,333,ball,71
415,326,ball,71
529,332,plate,72
428,338,ball,72
529,332,plate,73
528,332,plate,74
529,333,plate,75
529,333,plate,76
530,334,plate,77
530,333,plate,78
529,333,plate,79
530,333,plate,80
424,189,ball,80
422,171,ball,81
530,333,plate,81
529,332,plate,82
434,152,ball,82
529,333,plate,83
529,334,plate,84
482,155,ball,84
529,335,plate,85
489,215,ball,85
530,333,plate,86
482,303,ball,86
528,335,plate,87
489,373,ball,87
527,337,plate,88
491,355,ball,88
528,336,plate,89
490,325,ball,89
494,303,ball,90
527,334,plate,90
528,334,plate,91
498,283,ball,91
528,334,plate,92
528,334,plate,93
529,334,plate,94
529,335,plate,95
531,336,plate,96
495,224,ball,96
496,217,ball,97
531,337,plate,97
531,338,plate,98
495,214,ball,98
530,338,plate,99
496,214,ball,99
531,338,plate,100
498,213,ball,100
530,338,plate,101
531,338,plate,102
530,338,plate,103
530,338,plate,104
529,337,plate,105
530,337,plate,106
529,337,plate,107
529,336,plate,108
